L,outcome,sw_end_t,sw_end_x,univ_point_t,univ_point_x,err_sw_t,err_sw_x,err_univ
0.2,2.523785959,20.92144661,0.927743797,688.6199124,0.771387826,-8.92E-14,-5.34E-15,-4.10E-13
0.19,2.502170909,21.04941746,0.927435498,688.4873654,0.771379612,-1.30E-14,-1.08E-15,2.65E-12
0.18,2.479603519,21.18614028,0.927108783,688.3804822,0.771087629,-2.52E-08,-1.34E-08,-8.33E-13
0.17,2.456060466,21.32735267,0.926766458,688.2193001,0.771230528,-2.16E-08,-6.70E-09,-1.91E-11
0.16,2.431526848,21.47588125,0.926406133,688.0460055,0.771387668,-1.65E-08,3.54E-10,-1.74E-11
0.15,2.406898172,21.66554345,0.926027076,688.6828932,0.764347949,-1.27E-08,-3.20E-07,-1.04E-11
0.14,2.379460946,21.80421313,0.925628421,687.8730815,0.770062476,2.83E-10,-6.07E-08,-7.49E-16
0.13,2.351834909,21.97144068,0.925209234,687.5355444,0.771423532,-1.23E-13,-4.43E-16,-9.24E-15
0.12,2.323201283,22.15383111,0.924768826,687.3473077,0.771451739,-3.82E-15,-3.68E-16,1.29E-12
0.11,2.293519528,22.34553296,0.924306333,687.1499139,0.771488523,9.95E-14,1.27E-12,5.27E-13
0.1,2.262785826,22.54697662,0.923820904,686.9434702,0.771534839,-3.79E-14,-1.02E-14,6.02E-13
0.09,2.230999205,22.75851311,0.923311842,686.7267151,0.771591491,2.95E-16,3.11E-17,-5.74E-12
0.07,2.16427867,23.21512825,0.922216924,686.2579169,0.771746325,3.21E-13,-2.00E-12,1.48E-12
0.06,2.129359261,23.46063114,0.921630264,686.0059874,0.771844877,2.04E-13,2.72E-13,1.67E-12
0.05,2.093416499,23.71849144,0.921015928,685.7425264,0.771960143,-2.51E-14,-1.36E-14,4.83E-15
0.04,2.056465865,23.98907271,0.920373327,685.4649258,0.772092955,-3.14E-13,-1.43E-15,1.25E-14
0.03,2.018527996,24.27321866,0.919701089,685.175737,0.772246057,2.16E-13,4.75E-14,-4.85E-11
0.02,1.979627954,24.57280892,0.918996165,684.8703392,0.772426428,1.41E-12,2.71E-12,7.80E-13
0.01,1.939793826,24.88629358,0.918261318,684.551265,0.772626754,-5.18E-13,-4.14E-14,-6.66E-12
0,1.899058059,25.21743822,0.917490397,684.2143113,0.772861902,-1.07E-14,-2.12E-15,-2.00E-12
0.2,2.523785959,20.92144661,0.927743797,688.6199124,0.771387826,-8.92E-14,-5.34E-15,-4.10E-13
0.21,2.544467593,20.79985721,0.928036263,688.7460929,0.771398542,-2.33E-15,3.76E-16,1.09E-12
0.22,2.564237598,20.68435278,0.928313576,688.8666076,0.771411291,2.27E-13,-2.99E-13,-1.45E-12
0.23,2.583125387,20.5771991,0.928576278,689.0417645,0.770837048,-7.10E-09,-2.77E-08,-3.75E-12
0.24,2.601135118,20.47040342,0.928825029,689.0879452,0.771442961,-1.98E-08,1.05E-10,8.34E-14
0.28,2.670339902,20.03531867,0.929694158,687.7255919,0.787651478,-5.83E-08,7.74E-07,-1.71E-13
0.29,2.679117121,20.02309403,0.929882131,689.5400861,0.771653612,-6.52E-08,6.10E-09,-1.84E-12
0.3,2.692846565,19.96660429,0.930060191,690.064603,0.767018855,-6.87E-08,-2.18E-07,-4.77E-12
0.31,2.707632781,19.92530158,0.930228243,690.7923369,0.759696238,-8.56E-08,-5.76E-07,-5.32E-13
0.32,2.71725184,19.79723054,0.930386852,689.5582708,0.773868743,-7.47E-08,1.11E-07,2.31E-12
0.36,2.759147865,19.57319384,0.930935643,690.1662851,0.770150238,-8.01E-08,-7.29E-08,-2.37E-12
0.35,2.752867684,19.68039302,0.930810519,691.1939811,0.757630186,-9.45E-08,-6.88E-07,1.91E-12
0.4,2.792499718,19.37380991,0.931366899,690.2330633,0.771688574,-7.81E-08,-1.41E-10,2.44E-12
0.45,2.824468585,19.19188833,0.931774888,690.5842558,0.769926218,-6.82E-08,-9.01E-08,-1.83E-12
0.5,2.847721932,19.04183936,0.932070575,690.5967849,0.771594307,-5.77E-08,-8.67E-09,1.13E-12
0.6,2.876527599,18.86049774,0.93243298,690.9751549,0.769321842,-3.62E-08,-1.25E-07,9.18E-13
0.65,2.884874867,18.78131162,0.932538626,690.6873855,0.773897427,-2.73E-08,1.06E-07,1.46E-12
0.75,2.894646316,18.71420359,0.932662863,691.0334137,0.770448782,-1.53E-08,-6.77E-08,-2.49E-13
0.9,2.900426021,18.65074081,0.932737191,690.9975368,0.771764833,-5.23E-09,2.36E-10,1.47E-13
0.99,2.90171143,18.6331257,0.932753893,690.9915072,0.772088214,-3.64E-09,1.72E-08,1.55E-13
