alpha,outcome,sw_end_t,sw_end_x,univ_point_t,univ_point_x,err_sw_t,err_sw_x,err_univ
0.301,2.499806812,20.90527377,0.927364173,688.6811145,0.770509513,3.18E-13,-3.52E-15,1.98E-12
0.302,2.482456708,20.97436064,0.926984667,690.6472611,0.750440568,-6.05E-08,-9.01E-07,3.56E-12
0.303,2.452644745,20.87394058,0.926605355,688.8197707,0.76860136,-6.31E-08,-7.56E-09,-3.28E-12
0.304,2.42945643,20.85747186,0.92622678,688.8613716,0.76789733,-9.14E-08,1.03E-10,-2.60E-12
0.305,2.407641502,20.80853684,0.925848892,688.0574621,0.774677987,-1.17E-07,3.61E-07,1.01E-12
0.306,2.384747445,20.8574885,0.925471466,689.7182924,0.759046071,-1.43E-07,-3.37E-07,-7.13E-14
0.307,2.364705816,20.87152891,0.925094766,690.4288643,0.751417764,-1.76E-07,-6.59E-07,-1.88E-12
0.308,2.339276436,20.7960031,0.92471874,689.0832499,0.764549549,-1.71E-07,3.95E-09,2.33E-12
0.309,2.31736318,20.78068731,0.924348856,689.1485187,0.763619311,-4.13E-12,-1.85E-13,-2.06E-12
0.31,2.295707526,20.76930062,0.923973939,689.2808094,0.762053164,-1.20E-08,-3.45E-08,-2.72E-13
0.311,2.274279762,20.75169045,0.923600607,689.2589701,0.761938953,1.37E-14,-8.61E-13,-2.17E-13
0.312,2.253105422,20.73804433,0.92322723,689.3258512,0.760986812,-7.77E-09,-5.68E-09,-6.23E-12
0.313,2.232172786,20.72340448,0.922855227,689.3659304,0.760275393,-3.15E-14,-6.92E-16,-3.10E-12
0.314,2.211479894,20.70979929,0.922482759,689.418435,0.75945799,-1.84E-08,3.44E-10,3.41E-12
0.315,2.191024636,20.69644943,0.922111773,689.4765372,0.758586748,-1.75E-08,-2.10E-09,-1.28E-12
0.316,2.176987159,20.76677849,0.921741473,691.4341339,0.737744333,-5.39E-08,-9.73E-07,1.99E-13
0.317,2.15081824,20.66888896,0.921374001,689.5760788,0.756999066,7.75E-13,-1.22E-12,-4.00E-15
0.318,2.131105657,20.66362414,0.921003275,689.7944682,0.754573246,-1.72E-08,-7.88E-08,1.33E-12
0.319,2.111536558,20.64384416,0.920636451,689.6763089,0.755391588,1.03E-13,-5.27E-15,6.27E-13
0.32,2.092237413,20.63130918,0.920269516,689.725876,0.754593325,1.33E-12,7.00E-13,-1.68E-12
0.321,2.073163241,20.61907653,0.919903288,689.774826,0.753799981,2.00E-13,-9.93E-15,-1.17E-12
0.322,2.054313351,20.6087531,0.91953675,689.853797,0.752716245,-1.69E-08,-1.45E-08,7.99E-13
0.323,2.035681514,20.59602535,0.919172471,689.876821,0.752171027,-7.87E-09,-2.85E-09,9.40E-12
0.324,2.019052667,20.62841062,0.918808487,690.9821446,0.74053431,-3.27E-08,-5.37E-07,8.91E-12
0.325,1.999415451,20.59207439,0.918445518,690.438043,0.745948639,-3.71E-08,-2.33E-07,1.53E-13
0.326,1.985821993,20.63492265,0.918083886,691.7135798,0.731739249,-6.36E-08,-8.99E-07,2.90E-12
0.327,1.963326668,20.55113827,0.91772328,690.0551804,0.749145213,-2.92E-08,2.33E-10,1.08E-11
0.328,1.94942401,20.60433509,0.917364014,691.6107231,0.732356998,-3.71E-08,-7.96E-07,-6.10E-13
0.329,1.931837142,20.59181113,0.917005321,691.6088759,0.732092213,-3.52E-08,-7.73E-07,-5.13E-13
0.33,1.911362079,20.52947881,0.916647005,690.4237987,0.744515357,-3.75E-08,-1.18E-07,-5.84E-13
0.331,1.894342149,20.51014217,0.916291472,690.2302562,0.746129163,6.48E-13,-1.32E-14,1.26E-11
0.332,1.877607724,20.50059425,0.915934957,690.2702781,0.745405193,-3.36E-08,8.29E-10,-2.95E-12
0.333,1.861073953,20.4904448,0.915582704,690.3133726,0.744650393,-1.46E-13,2.06E-16,-3.84E-12
0.334,1.844738959,20.4819537,0.915228344,690.3537679,0.743922074,2.89E-14,-2.96E-15,-3.90E-13
0.335,1.828673939,20.46475722,0.914874474,690.1675021,0.745424173,-5.22E-08,1.12E-07,-4.19E-12
0.336,1.812657984,20.46543465,0.914523091,690.4484015,0.742330326,-6.40E-08,-7.37E-09,4.07E-13
0.337,1.797258484,20.4376159,0.91417326,689.9685347,0.746642574,-6.41E-08,2.47E-07,-1.43E-12
0.338,1.781348468,20.44876968,0.913824598,690.520458,0.740959987,-6.26E-08,-4.58E-09,-1.12E-13
0.339,1.766436491,20.4627,0.913477313,691.1113985,0.734579435,-5.94E-08,-2.92E-07,-1.21E-12
0.34,1.75083051,20.43896354,0.913131441,690.7435179,0.738070287,-4.50E-08,-8.00E-08,1.76E-12
0.341,1.73675229,20.45761385,0.912787387,691.4317139,0.730528056,-1.90E-08,-4.28E-07,1.44E-11
0.342,1.720985045,20.41793464,0.912444801,690.6604323,0.738258942,-3.86E-13,7.24E-12,9.03E-12
0.343,1.706353376,20.41083878,0.912102863,690.6957831,0.737573229,-1.30E-13,-8.55E-14,4.32E-12
0.344,1.691947105,20.41210474,0.911759869,690.910986,0.735063854,-2.40E-08,-9.38E-08,9.76E-12
0.345,1.677717461,20.40875025,0.911419574,691.0193091,0.733643916,-4.20E-08,-1.32E-07,-8.80E-12
0.346,1.663546595,20.39728208,0.911080682,690.9068666,0.734449311,-5.78E-08,-5.67E-08,-1.93E-12
0.347,1.650831786,20.35242401,0.910743382,689.8554102,0.744182323,-7.05E-08,4.81E-07,4.52E-12
0.348,1.638315182,20.43443981,0.910407345,692.1563423,0.720243973,-9.50E-08,-7.20E-07,-2.76E-12
0.349,1.622277663,20.37692172,0.910072736,690.8919523,0.733606242,-9.08E-08,1.41E-09,4.44E-16
0.35,1.610118947,20.40923924,0.909739837,691.8626404,0.722977475,-9.89E-08,-5.14E-07,4.40E-13
0.351,1.595711379,20.37723264,0.909408299,691.2089442,0.729709765,-9.55E-08,-1.34E-07,8.88E-13
0.352,1.585361171,20.41955959,0.909078474,692.374395,0.716470416,-1.08E-07,-7.86E-07,5.86E-13
0.353,1.572130285,20.41220336,0.908750041,692.3290715,0.716707703,-1.04E-07,-7.42E-07,-1.62E-12
0.354,1.556884866,20.35583004,0.908423139,691.0518089,0.730344503,-8.26E-08,-2.68E-09,1.21E-12
