kappa,outcome,sw_end_t,sw_end_x,univ_point_t,univ_point_x,err_sw_t,err_sw_x,err_univ
40,2.523785959,20.92144661,0.927743797,688.6199124,0.771387827,3.37E-15,5.69E-15,-2.25E-14
42.5,2.609737119,20.66270444,0.930251323,688.6641868,0.775664365,-3.08E-15,6.02E-15,3.12E-12
45,2.706947059,20.45851935,0.932549321,688.6537882,0.779822862,-6.11E-15,-3.17E-16,4.95E-12
47.5,2.811742186,20.29925556,0.934671601,688.5982633,0.783886794,1.44E-15,1.76E-15,-2.74E-12
50,2.922022462,20.1962384,0.936648787,688.957188,0.78319031,-4.03E-08,-2.18E-07,5.92E-14
52.5,3.036170799,20.04128076,0.938505285,687.5612855,0.799957705,-4.11E-08,3.78E-07,1.07E-13
55,3.15030395,20.00837131,0.94025874,688.2882456,0.795051345,-1.26E-08,-2.51E-08,6.97E-15
57.5,3.267116363,19.95193107,0.941922789,688.0669164,0.799365702,-3.03E-14,1.35E-14,6.25E-13
60,3.385898446,19.95091004,0.943508562,688.5836119,0.795464723,-1.78E-08,-3.52E-07,6.31E-13
65,3.621285059,19.87424326,0.946485768,687.4591437,0.810359514,-3.62E-15,-5.42E-16,1.69E-13
67.5,3.739743775,19.8701848,0.947889364,687.2500383,0.813722527,-1.15E-08,-9.27E-09,-4.89E-13
70,3.858955534,19.84090567,0.949244472,686.411322,0.823403491,-3.07E-08,2.64E-07,-1.17E-12
80,4.330832301,19.93350559,0.954256013,685.9540198,0.831111155,-1.35E-16,-1.97E-17,6.17E-14
100,5.265423976,20.18556878,0.962757643,683.6277989,0.856342607,-6.55E-10,-2.94E-09,-1.17E-13
38,2.467645115,21.20969455,0.925552569,689.2984475,0.760902386,-7.91E-08,-3.23E-07,5.16E-14
36,2.424959443,21.513641,0.923167351,689.0098432,0.758959571,-1.77E-07,-2.44E-07,-1.50E-13
34,2.40270538,21.86725283,0.920559648,688.2051612,0.760487428,-2.59E-08,-1.69E-09,1.29E-11
32,2.410540866,22.34030442,0.917674759,688.260182,0.754078758,-9.64E-09,-1.17E-07,-7.89E-12
30,2.461159095,22.89248824,0.914465406,687.540025,0.752707496,-6.55E-08,2.31E-09,3.86E-13
28,2.577572165,23.59557718,0.910863298,687.0467093,0.748504004,-1.79E-13,-9.43E-16,5.63E-13
26,2.799422737,24.4738818,0.906797537,686.4304859,0.743902728,-4.90E-08,-1.17E-08,-1.45E-13
24,3.203044721,25.59546283,0.902184178,685.8851095,0.737728841,-3.35E-08,-8.00E-08,8.90E-12
22,3.949381219,27.02363964,0.896930244,684.3221193,0.735033009,-8.70E-14,-1.09E-14,4.45E-12
20,5.474306784,28.81862259,0.890932586,674.731043,0.74720956,-1.19E-07,7.12E-07,6.36E-14
18,8.745419287,31.65132054,0.884137325,680.3065393,0.725637698,-1.60E-12,2.90E-13,3.38E-12
17.5,10.18589591,32.51265227,0.882309388,679.5333242,0.724504067,4.89E-13,5.44E-14,-2.97E-15
17,12.05841639,33.49425003,0.880430117,679.3538216,0.721919936,-1.42E-08,-4.62E-08,4.31E-13
16.5,14.55562329,34.66135429,0.878503161,681.3371576,0.713955412,-2.98E-08,-2.44E-07,4.91E-12
16,17.87301163,35.83812903,0.876531088,676.4906517,0.72128722,-2.34E-13,-3.46E-13,-2.43E-16
