index,b,d,chi,c,alpha,theta,kappa,L,T,Tbar,mu,mubar,sw_start_x,sw_end_t,sw_end_x,univ_point_t,univ_point_x,outcome,err_sw_t,err_sw_x,err_ending_point
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,120,0.008333333,0.008333333,0.928351497,43.93897241,0.698028028,656.4992442,0.697892086,1.113022866,-2.74E-08,-5.72E-09,8.24E-12
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,118,0.008333333,0.008474576,0.927288639,43.91668282,0.694769417,657.2205974,0.692241789,1.087785229,-1.90E-08,-1.08E-07,1.30E-11
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,116,0.008333333,0.00862069,0.926193341,43.8473872,0.691841145,657.5333835,0.689197513,1.062335637,-1.36E-08,-1.14E-07,-3.68E-16
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,114,0.008333333,0.00877193,0.925064961,43.72224487,0.689315782,657.3612964,0.689315782,1.036671948,1.14E-13,1.26E-14,-2.09E-12
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,112,0.008333333,0.008928571,0.923900994,43.64656148,0.686282885,657.6656253,0.686282897,1.010873258,1.95E-13,5.27E-13,2.36E-12
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,110,0.008333333,0.009090909,0.922698539,43.57060511,0.683191869,657.9734763,0.68319187,0.984910641,3.71E-14,1.02E-15,-5.06E-12
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,108,0.008333333,0.009259259,0.92145733,43.49227496,0.6800351,658.2858585,0.680035101,0.958791321,7.74E-14,7.23E-15,-1.85E-12
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,106,0.008333333,0.009433962,0.920175394,43.41307222,0.676796741,658.6175374,0.676712989,0.932523328,-2.71E-10,-3.76E-09,-1.88E-12
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,104,0.008333333,0.009615385,0.918850381,43.46087541,0.672322101,660.1415994,0.665113547,0.906346524,-3.45E-08,-3.31E-07,-9.89E-11
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,102,0.008333333,0.009803922,0.917480199,43.25485824,0.670037341,659.3680512,0.669355542,0.879579445,-2.83E-08,-3.12E-08,-6.62E-12
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,100,0.008333333,0.01,0.916062496,43.14097111,0.666827839,659.4537933,0.667585007,0.852922443,-4.50E-08,3.50E-08,2.57E-12
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,98,0.008333333,0.010204082,0.914595253,43.06750328,0.663151099,659.9572776,0.662927068,0.82615511,-3.55E-08,-1.05E-08,1.49E-12
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,96,0.008333333,0.010416667,0.91307642,42.96937276,0.659586535,660.2614213,0.659586536,0.799295026,4.83E-13,1.58E-14,-3.77E-12
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,94,0.008333333,0.010638298,0.911500994,42.8723459,0.655902301,660.6090694,0.655902301,0.772354439,-7.72E-14,-4.29E-15,-2.94E-12
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,92,0.008333333,0.010869565,0.909864257,42.72514497,0.65259281,660.472748,0.655506288,0.745381715,-3.43E-08,1.40E-07,5.51E-12
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,90,0.008333333,0.011111111,0.90817008,42.66930192,0.648271392,661.3216075,0.648271392,0.718293686,-1.10E-13,-6.82E-15,4.85E-14
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,88,0.008333333,0.011363636,0.906403816,42.56555258,0.644327158,661.684386,0.644336901,0.691208449,-3.53E-08,4.84E-10,-3.87E-13
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,86,0.008333333,0.011627907,0.904571327,42.46743713,0.640170454,662.1697952,0.639484,0.664114009,-1.41E-08,-3.46E-08,4.74E-12
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,84,0.008333333,0.011904762,0.902663816,42.41456993,0.635446863,663.1393341,0.631052612,0.637093043,-2.41E-08,-2.26E-07,-2.49E-11
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,82,0.008333333,0.012195122,0.900677097,42.27897549,0.631368842,663.3441617,0.628089728,0.610010505,-3.82E-08,-1.70E-07,-1.75E-12
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,80,0.008333333,0.0125,0.898606701,42.12237406,0.62734665,663.382606,0.626291827,0.582984773,-4.19E-08,-5.54E-08,3.80E-11
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,78,0.008333333,0.012820513,0.896447318,42.06444247,0.622212402,664.4522847,0.616838937,0.556162762,-4.23E-08,-2.89E-07,-1.54E-12
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,76,0.008333333,0.013157895,0.894192839,41.85144536,0.618422784,664.026727,0.618389482,0.529279809,-8.22E-09,-1.80E-09,-2.45E-12
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,74,0.008333333,0.013513514,0.891836155,41.71628896,0.613702782,664.4366782,0.613702783,0.502632095,5.29E-13,3.63E-14,3.30E-12
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,72,0.008333333,0.013888889,0.889370566,41.57624218,0.608845541,664.8617291,0.60884554,0.476163557,-1.94E-12,-4.21E-14,3.94E-11
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,70,0.008333333,0.014285714,0.886787195,41.43138499,0.603852834,665.2951643,0.603852835,0.449910198,3.18E-12,5.02E-14,4.23E-15
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,68,0.008333333,0.014705882,0.884078394,41.28061994,0.598715426,665.7355775,0.598715426,0.423910169,-2.65E-14,-1.56E-15,-5.80E-12
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,66,0.008333333,0.015151515,0.881230999,41.12722222,0.593414456,666.2064635,0.593292935,0.398204725,-3.98E-08,-7.15E-09,-6.57E-12
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,64,0.008333333,0.015625,0.878241299,40.99204223,0.587686329,666.9680909,0.585571484,0.372847636,-1.10E-08,-1.27E-07,-6.82E-13
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,62,0.008333333,0.016129032,0.875094327,40.79202342,0.582369845,667.122214,0.582369845,0.34785407,-2.96E-13,-3.73E-15,-2.18E-11
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,60,0.008333333,0.016666667,0.871773906,40.63672143,0.576365435,667.838962,0.574803389,0.323309401,-2.87E-08,-9.77E-08,5.00E-12
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,58,0.008333333,0.017241379,0.868271255,40.43018685,0.57060404,668.101513,0.57060404,0.299239499,7.91E-13,-1.87E-14,1.19E-12
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,56,0.008333333,0.017857143,0.864558191,40.25474594,0.564262293,668.7954255,0.563009442,0.275717013,-2.50E-07,-8.18E-08,1.52E-11
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,54,0.008333333,0.018518519,0.860640009,40.03760819,0.558019111,669.1649768,0.557794709,0.252785121,-1.63E-08,-1.50E-08,4.58E-12
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,52,0.008333333,0.019230769,0.856468268,39.86166191,0.551047453,670.1052628,0.548036166,0.230526314,-2.48E-07,-2.07E-07,-3.36E-11
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,50,0.008333333,0.02,0.85204115,39.62540852,0.544345044,670.5093422,0.542346958,0.208960763,-1.99E-07,-1.41E-07,5.80E-12
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,48,0.008333333,0.020833333,0.847325737,39.47136172,0.536407426,671.9959529,0.527854094,0.188280655,-1.16E-07,-6.24E-07,-1.13E-11
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,46,0.008333333,0.02173913,0.842288229,39.12387896,0.530107027,671.4220327,0.52974606,0.168244858,-7.65E-08,-2.68E-08,-1.08E-11
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,44,0.008333333,0.022727273,0.836898208,38.85926151,0.52250332,671.9715412,0.52250332,0.149220576,-5.37E-13,-1.67E-14,7.48E-12
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,42,0.008333333,0.023809524,0.831112469,38.58426091,0.514543663,672.593991,0.514543664,0.131169621,1.79E-14,3.45E-14,4.42E-12
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,40,0.008333333,0.025,0.824886877,38.29306165,0.506249754,673.237851,0.506249765,0.114155103,1.18E-12,8.37E-13,5.00E-13
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,38,0.008333333,0.026315789,0.818161,38.02091095,0.497226859,674.352286,0.494051417,0.098246498,-9.21E-08,-2.68E-07,-9.52E-12
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,36,0.008333333,0.027777778,0.810878203,37.57287618,0.489476177,673.4134391,0.497602436,0.083526209,-2.77E-07,7.03E-07,-9.92E-12
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,34,0.008333333,0.029411765,0.802978295,37.30776884,0.47907793,675.3158897,0.479077944,0.069913393,1.75E-11,1.22E-12,-1.60E-11
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,32,0.008333333,0.03125,0.794345363,36.9284012,0.469207485,675.9742057,0.469847217,0.057599785,-2.77E-08,6.05E-08,2.59E-12
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,30,0.008333333,0.033333333,0.784887714,36.53824062,0.458634968,676.9031557,0.45823354,0.046563788,-2.39E-08,-3.97E-08,9.43E-12
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,28,0.008333333,0.035714286,0.774467541,36.13288519,0.447330052,678.0888745,0.444302686,0.036828252,-1.89E-07,-3.15E-07,1.01E-13
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,26,0.008333333,0.038461538,0.762942138,35.63681578,0.435969042,678.5263871,0.435969041,0.028383534,-1.47E-13,-1.60E-13,4.87E-10
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,24,0.008333333,0.041666667,0.750091902,35.13177402,0.423575325,679.4310725,0.423575325,0.021224043,2.49E-13,1.72E-14,-6.82E-15
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,22,0.008333333,0.045454545,0.735676258,34.58044458,0.410360021,680.3918759,0.41036002,0.015306295,9.17E-13,-2.23E-13,-3.53E-15
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,20,0.008333333,0.05,0.71937009,33.97591702,0.396202748,681.4113838,0.396202746,0.010565978,-4.63E-12,-3.57E-13,-1.05E-15
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,18,0.008333333,0.055555556,0.700746949,33.30938445,0.380950333,682.5003801,0.380950336,0.006912505,1.45E-13,3.66E-13,-5.00E-15
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,16,0.008333333,0.0625,0.679247903,32.5667744,0.364395218,683.6736086,0.364395218,0.004229112,-1.22E-12,-8.06E-14,7.81E-15
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,14,0.008333333,0.071428571,0.654083867,31.73333268,0.346271033,684.9452392,0.346271034,0.002375355,1.90E-12,1.38E-13,7.85E-11
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,12,0.008333333,0.083333333,0.624131372,30.81172506,0.325963295,686.8513785,0.322636638,0.001193149,-2.34E-07,-6.21E-07,9.80E-11
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,10,0.008333333,0.1,0.587740387,29.70183076,0.303585761,687.9955627,0.30290785,0.000514674,-2.76E-07,-1.43E-07,-5.29E-11
1,0.14,0.13,0.3,0.04,0.3,0.45,40,0.2,120,8,0.008333333,0.125,0.542260506,28.43380341,0.277586791,689.9738811,0.275581632,0.000179125,-1.03E-07,-4.90E-07,-5.36E-09
