theta,outcome,sw_end_t,sw_end_x,univ_point_t,univ_point_x,err_sw_t,err_sw_x,err_univ
0.45,2.523785959,20.92144661,0.927743797,688.6199125,0.771387826,-1.01E-14,-2.75E-14,-8.06E-14
0.46,2.845559778,21.1324846,0.931491453,687.9479796,0.780266331,1.20E-14,9.82E-14,-1.12E-12
0.47,3.241895632,21.40049386,0.935240656,687.9126158,0.783460394,-8.56E-08,-2.64E-07,4.65E-13
0.48,3.739705443,21.61685305,0.938977003,685.9896405,0.802066203,-6.02E-09,1.34E-07,-1.61E-13
0.49,4.391527235,21.98504231,0.942668406,686.950675,0.797471079,-3.82E-08,-4.56E-07,-2.16E-12
0.5,5.262932778,22.23711013,0.946296417,684.5961842,0.818308306,-4.10E-14,-4.66E-15,-2.23E-14
0.51,6.502334771,22.60676888,0.949831798,684.2611023,0.823801541,-1.48E-07,-1.65E-07,2.15E-13
0.52,8.352218762,22.94489639,0.95326874,682.5427293,0.837880754,-5.13E-14,1.87E-14,-1.11E-12
0.45,2.523785959,20.92144702,0.927743797,688.6199224,0.771387736,3.81E-12,-4.23E-12,1.68E-12
0.44,2.256771952,20.74021165,0.924025255,689.3177821,0.761986734,-9.77E-09,-4.23E-08,-2.61E-13
0.43,2.031795355,20.57732143,0.920361396,689.7678933,0.754758234,-6.14E-15,-1.28E-13,-7.16E-13
0.42,1.840268156,20.45832252,0.916771433,690.5518982,0.743927601,-3.41E-08,-1.59E-07,6.91E-12
0.41,1.675920269,20.36333425,0.913281672,691.192498,0.734174586,-3.01E-08,-2.93E-07,-2.19E-12
0.4,1.53334425,20.2659074,0.909910224,691.0137137,0.733214335,-7.12E-08,1.02E-10,-1.19E-15
0.3975,1.500880398,20.25136956,0.909088584,691.0893803,0.731654756,-7.86E-08,1.70E-09,1.52E-13
0.395,1.469601615,20.24657396,0.908276446,691.3626881,0.727940055,-6.78E-08,-1.12E-07,-6.76E-12
0.3925,1.439331099,20.22345726,0.907473932,691.1207641,0.72981241,-4.79E-08,6.72E-08,3.89E-14
0.37,1.217892167,19.77040971,0.900976758,692.1795719,0.716065314,-2.93E-14,-9.53E-14,4.33E-16
0.369,1.209203252,19.77652927,0.900695952,692.2077356,0.715342116,-6.06E-11,-1.44E-08,-9.71E-15
0.368,1.200637743,19.78123464,0.90041714,692.202105,0.715132441,-6.40E-13,-5.69E-14,5.08E-16
0.367,1.192195165,19.78698587,0.900140334,692.2126316,0.71467469,-3.20E-14,-1.12E-13,-9.68E-15
0.366,1.183873517,19.7929651,0.899865548,692.2226637,0.714222755,1.39E-13,3.41E-15,2.75E-15
0.365,1.175671214,19.79917401,0.899592796,692.2322011,0.713776647,-4.01E-14,-7.20E-15,1.69E-15
0.364,1.167586701,19.80561424,0.899322091,692.2412429,0.713336385,3.14E-18,1.73E-19,9.16E-16
0.363,1.159618451,19.81228745,0.899053446,692.2497884,0.712901984,-6.06E-17,-4.48E-17,-6.69E-15
0.362,1.151764962,19.81919534,0.898786875,692.2578369,0.71247346,3.49E-17,-1.54E-16,3.61E-16
0.361,1.14402476,19.82633958,0.89852239,692.2653875,0.712050832,3.63E-14,1.94E-13,3.86E-15
0.36,1.136396396,19.8337219,0.898260004,692.27244,0.711634106,2.89E-14,7.78E-17,-5.55E-16
0.359,1.128878445,19.84134398,0.897999729,692.2789929,0.711223307,-2.90E-16,8.13E-19,-1.17E-15
0.358,1.121469509,19.84920756,0.897741577,692.2850456,0.710818447,1.80E-15,5.67E-17,1.03E-15
0.357,1.114168211,19.85731438,0.897485561,692.2905973,0.710419542,-3.11E-15,1.35E-17,-7.11E-15
0.356,1.1069732,19.86566618,0.897231692,692.2956471,0.710026606,-3.75E-13,-5.66E-15,-2.00E-15
0.355,1.099883147,19.87426477,0.896979982,692.3001947,0.709639645,-2.18E-13,-5.79E-13,-2.78E-16
0.354,1.092896743,19.88311182,0.896730442,692.3042372,0.709258704,-1.54E-15,-1.87E-17,-2.89E-15
0.353,1.086012705,19.8922077,0.896483084,692.307744,0.70888425,2.09E-12,2.78E-11,5.08E-15
0.352,1.079229768,19.90155876,0.896237918,692.3108082,0.708514859,-4.72E-15,-1.73E-15,-3.36E-15
0.351,1.072546689,19.91116224,0.895994956,692.3133341,0.708151996,1.09E-17,2.35E-17,4.36E-15
0.35,1.065962246,19.92102152,0.895754208,692.3153521,0.707795191,-4.49E-16,-6.23E-17,-1.97E-15
0.349,1.059475237,19.93113843,0.895515684,692.3168612,0.707444459,-2.25E-14,-6.36E-18,-4.16E-16
