variable,value,outcome,sw_end_t,sw_end_x,univ_point_t,univ_point_x,err_sw_t,err_sw_x
c,0.04,2.52378595867396,20.9214466027,0.927743797394,688.619912355774,0.771387827179,-6.68445016169e-14,-1.88527128814e-14,-2.09082751113e-13
c,0.039,2.74496266027197,20.9449114162,0.927401364616,688.8187900017928,0.769313042733,-3.14323084704e-15,-3.55149636595e-16,1.06613329276e-12
c,0.038,2.98516536262158,20.9692670838,0.927056561128,689.0178948709078,0.767208069085,-2.49715766296e-14,-6.82924230891e-13,3.21964677141e-15
c,0.037,3.24599274703084,20.9944473585,0.926709090797,689.2164827577309,0.765079366304,-1.48582824865e-08,3.53235734626e-10,2.67624464256e-15
c,0.036,3.53381811881265,21.0818386691,0.926359144277,690.7908892566826,0.748894826692,-4.95196420803e-08,-6.4267780487e-07,-1.89309679044e-12
c,0.035,3.83727236760396,21.0699503993,0.926006586855,690.1361642482706,0.755559597682,-5.24522438962e-08,-2.34011260087e-07,5.01813868237e-13
c,0.034,4.17031237638756,21.0832518222,0.925651466433,689.9952681594282,0.756715677158,-6.89275323725e-08,-7.92408163063e-08,1.99655569855e-12
c,0.033,4.53381298392443,21.1352373201,0.925293747263,690.7161764141105,0.749078880448,-8.98169942383e-08,-3.21190170067e-07,-4.3700650737e-12
c,0.032,4.92515939065906,21.1347400926,0.924933324241,690.218424845243,0.753901569198,-1.01483911447e-07,3.8916399366e-10,-1.09824649375e-12
c,0.031,5.35135411815377,21.1664008702,0.9245701836,690.4338100558756,0.751418456623,-1.15500009964e-07,-5.91130794301e-09,9.27236065706e-12
c,0.03,5.81363253385072,21.1978593441,0.924204247154,690.6202147050412,0.749195444722,-1.27870560615e-07,1.05092171859e-09,1.9376444893e-12
c,0.029,6.31534405351582,21.2184608092,0.923835426713,690.5238853162376,0.749799906551,-1.40809769274e-07,1.34109445401e-07,8.32532653927e-12
c,0.028,6.85856221919533,21.2664457598,0.923463647928,691.051681778179,0.744052705346,-1.52157567397e-07,-1.06202129127e-08,-8.83269846153e-12
c,0.027,7.44922361996896,21.3236025673,0.923088922288,691.7395743650361,0.736303077691,-1.62366863421e-07,-2.40451250262e-07,5.19045917358e-12
c,0.026,8.08767898063677,21.3567154602,0.92271107475,691.8653782812377,0.734570125216,-1.70409693799e-07,-2.03860006628e-07,-2.48803755376e-12
c,0.025,8.78235365476580,21.4093853676,0.922330105111,692.3855314977641,0.728341413497,-1.80339368902e-07,-3.61597594912e-07,2.45854031578e-12
c,0.024,9.52886153759692,21.4135077789,0.921950830311,691.8458456562996,0.734034181208,-6.95272743424e-15,6.34219760441e-15,1.90437943193e-13
c,0.023,10.3413433307114,21.4541227599,0.921562887544,692.0591882278407,0.731280154565,-1.74077818029e-08,-3.2196463479e-09,3.14357567754e-12
c,0.022,11.2213154353551,21.4953895051,0.921172085167,692.2608390295245,0.728615462579,-1.37197710064e-08,-5.50790122269e-10,-6.4010741152e-12
