T,Tbar,period,sigma,Resistance,FoldChange
28.0,120,26.700000000000003,0.8,0.9487799292779633,5.949412476538993
28.0,118,26.700000000000003,0.8,0.9479471519888029,5.870814120929659
28.0,116,24.900000000000002,0.8,0.9415935872360333,5.790752308255301
28.0,114,24.900000000000002,0.8,0.9406148026633389,5.708946061423756
28.0,112,20.6,0.8,0.9356474323842221,5.624805898341981
28.0,110,20.6,0.8,0.9345325551318123,5.539067256811435
28.0,108,20.6,0.8,0.9333785380503158,5.451776464799295
28.0,106,20.6,0.8,0.9321832929942526,5.362903005797829
28.0,104,20.6,0.8,0.9309445813534252,5.272416546418765
28.0,102,20.6,0.8,0.9296600003278495,5.180287076788735
28.0,100,20.6,0.8,0.9283269676816779,5.086485078971347
28.0,98,20.6,0.8,0.9269427047771097,4.99098169407374
28.0,96,20.6,0.8,0.9255042176591785,4.893748959130526
28.0,94,20.6,0.8,0.9240082759270795,4.794760044893085
28.0,92,20.6,0.8,0.9224513890862025,4.693989540082732
28.0,90,20.6,0.8,0.9208297800262661,4.591413775954391
28.0,88,20.6,0.8,0.9191393552132542,4.487011197944056
28.0,86,20.6,0.8,0.9173756711145185,4.380762790029335
28.0,84,20.6,0.8,0.9155338962947833,4.272652559687772
28.0,82,20.6,0.8,0.913608768524301,4.1626680921199934
28.0,80,16.0,0.8,0.9048328134893442,4.049504309360435
28.0,78,16.0,0.8,0.9025650012916806,3.934431453266348
28.0,76,16.0,0.8,0.9001873494292573,3.817460278623084
28.0,74,16.0,0.8,0.8976917522354838,3.698601308591183
28.0,72,16.0,0.8,0.8950692945278228,3.5778730728280337
28.0,70,16.0,0.8,0.8923101491418968,3.455303346489439
28.0,68,16.0,0.8,0.8894034587092673,3.3309305534687206
28.0,66,16.0,0.8,0.8863371988236475,3.2048053540291592
28.0,64,16.0,0.81,0.8849797648795931,3.0768992765792214
28.0,62,16.0,0.81,0.8816022223935213,2.947374201611697
28.0,60,16.0,0.81,0.8780228545783519,2.8163316579716047
28.0,58,16.0,0.81,0.8742232790045461,2.6838915178224325
28.0,56,16.0,0.81,0.8701828488505112,2.55019741886457
28.0,54,16.0,0.81,0.8658783012543017,2.4154200755020843
28.0,52,14.700000000000001,0.81,0.8545274761342717,2.2794238041479695
28.0,50,14.700000000000001,0.8200000000000001,0.8515365365136648,2.142543321473879
28.0,48,12.200000000000001,0.8200000000000001,0.8356598855190457,2.0050050557779455
28.0,46,12.200000000000001,0.8200000000000001,0.8294361184302839,1.8667197890089866
28.0,44,12.200000000000001,0.8200000000000001,0.8227325695772109,1.728766285296899
28.0,42,11.8,0.8300000000000001,0.8158728068315461,1.5913891431751026
28.0,40,11.8,0.8300000000000001,0.8080350629905344,1.4550741076225975
28.0,38,9.6,0.8400000000000001,0.7929645858745017,1.3199185619528313
28.0,36,9.6,0.8400000000000001,0.7833876800782419,1.1868571036762012
28.0,34,9.6,0.8500000000000001,0.7752213017595253,1.0569674428567815
28.0,32,9.6,0.8500000000000001,0.7638043184361063,0.9307784875601048
28.0,30,9.6,0.8600000000000001,0.7535731778562154,0.8093024592544515
28.0,28,9.6,0.8700000000000001,0.7420476983748883,0.6933943764646068
28.0,26,9.6,0.8700000000000001,0.7267195518656266,0.5839743432159694
28.0,24,9.6,0.8900000000000001,0.7142357395302964,0.48205657715200645
28.0,22,5.5,0.9000000000000001,0.654389917585364,0.3885716848188163
28.0,20,4.9,0.9100000000000001,0.63020954113581,0.303428965715526
28.0,18,4.9,0.9300000000000002,0.6066517385649471,0.22876419538020673
28.0,16,4.9,0.9600000000000002,0.5807043541059518,0.16532784221666144
28.0,14,3.2,0.9800000000000002,0.5346304873751511,0.1134173447109671
28.0,12,3.2,1.0000000000000002,0.4947511582892649,0.0728586100251459
28.0,10,3.2,1.0000000000000002,0.4447613466469378,0.04346016405400345
28.0,8,3.2,1.0000000000000002,0.3863724298117309,0.023766292744768856
28.0,6,1.9000000000000001,1.0000000000000002,0.2954627605550935,0.011741674752998402
28.0,4,1.9000000000000001,1.0000000000000002,0.21589073298620506,0.005196517611709525
