T,Tbar,period,sigma,Resistance,FoldChange
120,60.0,28.800000000000004,0.8400000000000001,0.7849875422373307,0.4082500642972917
118,60.0,28.800000000000004,0.8400000000000001,0.7864323712693633,0.41731557008188147
116,60.0,28.800000000000004,0.8400000000000001,0.7879083433553836,0.4267610899853316
114,60.0,28.800000000000004,0.8400000000000001,0.7894165431659942,0.4366096400184209
112,60.0,28.800000000000004,0.8400000000000001,0.7909581077256657,0.4468860539431654
110,60.0,28.800000000000004,0.8400000000000001,0.7925342296461979,0.45761717947525393
108,60.0,28.800000000000004,0.8400000000000001,0.7941461606361001,0.46883206407204386
106,60.0,28.800000000000004,0.8400000000000001,0.795795215263978,0.48056215722971035
104,60.0,28.800000000000004,0.8400000000000001,0.7974827750161437,0.49284138510125686
102,60.0,28.800000000000004,0.8400000000000001,0.7992102926848673,0.5057073208822862
100,60.0,28.800000000000004,0.8400000000000001,0.8009792970802649,0.5192000900938336
98,60.0,28.800000000000004,0.8400000000000001,0.8027913981501762,0.5333636925761889
96,60.0,28.800000000000004,0.8400000000000001,0.8046482925010731,0.5482461459182547
94,60.0,28.800000000000004,0.8400000000000001,0.8065517693805432,0.5638999859110516
92,60.0,28.800000000000004,0.8300000000000001,0.8053746492295363,0.5803762073287769
90,60.0,28.800000000000004,0.8300000000000001,0.8074051999167454,0.5977389354726435
88,60.0,28.800000000000004,0.8300000000000001,0.8094889531625309,0.6160623182031583
86,60.0,28.800000000000004,0.8300000000000001,0.8116281660192959,0.6354228415039072
84,60.0,28.800000000000004,0.8300000000000001,0.8138252282873603,0.6559049586491641
82,60.0,28.800000000000004,0.8300000000000001,0.8160826724505719,0.6776021221789302
80,60.0,28.800000000000004,0.8300000000000001,0.8184031844911481,0.7006179783242787
78,60.0,28.800000000000004,0.8300000000000001,0.8207896156704815,0.7250677532231519
76,60.0,28.800000000000004,0.8300000000000001,0.8232449953619231,0.7510798375824949
74,60.0,28.800000000000004,0.8300000000000001,0.8257725450420105,0.7787976843895351
72,60.0,28.800000000000004,0.8300000000000001,0.8283756934674571,0.8083815197588405
70,60.0,28.800000000000004,0.8300000000000001,0.8310580885319225,0.8400127595522984
68,60.0,28.800000000000004,0.8300000000000001,0.833823628410596,0.8738937549290051
66,60.0,28.800000000000004,0.8300000000000001,0.8366764675962812,0.9102548161315959
64,60.0,28.800000000000004,0.8300000000000001,0.8396210440804517,0.9493565005707961
62,60.0,28.800000000000004,0.8300000000000001,0.8426621015883468,0.991495311189003
60,60.0,28.800000000000004,0.8300000000000001,0.8458047144451085,1.0370098532869794
58,60.0,28.800000000000004,0.8300000000000001,0.8490543142974404,1.0862881549349275
56,60.0,28.800000000000004,0.8200000000000001,0.8497680141191181,1.1397301795137695
54,60.0,26.700000000000003,0.8200000000000001,0.8430927479008392,1.1978124657596854
52,60.0,26.700000000000003,0.8200000000000001,0.8468278205570084,1.260802085185131
50,60.0,26.700000000000003,0.8200000000000001,0.8507046728568642,1.329728738798168
48,60.0,21.800000000000004,0.8200000000000001,0.8394872505939662,1.4044123080619424
46,60.0,20.6,0.8200000000000001,0.8400572960119616,1.4863370394368898
44,60.0,20.6,0.8200000000000001,0.8445249222295411,1.5765786304396356
42,60.0,20.6,0.8200000000000001,0.8491886800814383,1.6766077910499417
40,60.0,20.6,0.8200000000000001,0.8540626941755528,1.7879560670682704
38,60.0,16.0,0.8200000000000001,0.850132903007193,1.9121779271930661
36,60.0,16.0,0.81,0.8533443047813087,2.050236786877576
34,60.0,16.0,0.81,0.8590457958904179,2.205914982833983
32,60.0,16.0,0.81,0.8650423169747861,2.3825810525253437
30,60.0,16.0,0.81,0.8713588064369724,2.5843315342610897
28,60.0,16.0,0.81,0.8780228545783519,2.8163316579716047
26,60.0,16.0,0.81,0.8850649151529193,3.085169047574511
24,60.0,14.700000000000001,0.8,0.8849095077456387,3.398046389044472
22,60.0,12.200000000000001,0.8,0.8845646390720828,3.7648838324921994
20,60.0,11.8,0.8,0.8919351586286062,4.199486754969997
18,60.0,9.6,0.8,0.895655645442818,4.720796645679456
16,60.0,9.6,0.79,0.9043773169531188,5.352955521787548
14,60.0,9.6,0.79,0.9154728672367055,6.134795081725188
12,60.0,9.6,0.79,0.9274509030199083,7.119762128928205
10,60.0,5.5,0.78,0.9213359977183858,8.371805012551942
8,60.0,4.9,0.78,0.9355326151836707,10.003044422561015
6,60.0,3.2,0.77,0.9469148204400799,12.201706996473687
4,60.0,3.2,0.76,0.9653742518336467,15.251999093042047
