T,Tbar,period,sigma
28,120,16.0,0.7500000000000003
28,118,11.0,0.7900000000000004
28,116,7.0,0.7200000000000003
28,114,1.0,0.7400000000000003
28,112,1.0,0.6900000000000003
28,110,1.0,0.6700000000000003
28,108,1.0,0.6500000000000002
28,106,1.0,0.6300000000000002
28,104,1.0,0.6200000000000002
28,102,1.0,0.6100000000000002
28,100,1.0,0.6000000000000002
28,98,1.0,0.5900000000000002
28,96,7.0,0.7900000000000004
28,94,2.0,0.8000000000000004
28,92,1.0,0.7000000000000003
28,90,1.0,0.6700000000000003
28,88,1.0,0.6400000000000002
28,86,1.0,0.6300000000000002
28,84,1.0,0.6100000000000002
28,82,1.0,0.6000000000000002
28,80,1.0,0.5900000000000002
28,78,13.0,0.7900000000000004
28,76,1.0,0.7500000000000003
28,74,1.0,0.6800000000000003
28,72,1.0,0.6500000000000002
28,70,1.0,0.6300000000000002
28,68,1.0,0.6100000000000002
28,66,1.0,0.6000000000000002
28,64,1.0,0.5900000000000002
28,62,7.0,0.7800000000000004
28,60,1.0,0.7200000000000003
28,58,1.0,0.6700000000000003
28,56,1.0,0.6400000000000002
28,54,1.0,0.6200000000000002
28,52,1.0,0.6000000000000002
28,50,1.0,0.5900000000000002
28,48,1.0,0.5800000000000002
28,46,1.0,0.7200000000000003
28,44,1.0,0.6600000000000003
28,42,1.0,0.6300000000000002
28,40,1.0,0.6100000000000002
28,38,1.0,0.5900000000000002
28,36,1.0,0.5800000000000002
28,34,1.0,0.5700000000000002
28,32,1.0,0.7500000000000003
28,30,1.0,0.6700000000000003
28,28,1.0,0.6400000000000002
28,26,1.0,0.6100000000000002
28,24,1.0,0.5900000000000002
28,22,1.0,0.5800000000000002
28,20,1.0,0.5700000000000002
28,18,1.0,0.5600000000000002
28,16,1.0,0.5500000000000002
28,14,1.0,0.5400000000000001
28,12,1.0,0.5300000000000001
28,10,1.0,0.5300000000000001
28,8,1.0,0.5200000000000001
28,6,1.0,0.5100000000000001
28,4,1.0,0.5100000000000001
